unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y15-64,B-F,EU27_2020	2.3 	2.5 	2.5 	2.5 	2.5 	2.2 	2.3 	2.5 	2.6 	1.9 	2.4 b
PC,F,Y15-64,B-F,EU28	2.2 	2.3 	2.3 	2.3 	2.3 	2.1 	2.1 	2.3 	2.4 	1.8 	2.2 b
PC,F,Y15-64,B-F,FI	4.5 	3.9 u	4.1 u	3.6 u	3.7 u	3.2 u	3.5 u	3.6 u	3.7 b	2.6 u	3.6 b
PC,F,Y15-64,B-F,FR	5.9 	6.4 	6.2 	5.4 	5.6 b	4.3 	5.3 	5.6 	7.2 	5.0 	6.3 b
PC,F,Y15-64,B-F,HR	8.6 u	8.9 u	8.7 u	6.6 u	6.3 bu	6.0 u	5.6 u	5.8 u	4.9 u	4.7 u	5.6 bu
PC,F,Y15-64,B-F,HU	2.1 	2.1 	2.5 	4.3 	4.7 	5.3 	4.6 	4.8 	5.0 	4.0 	4.3 b
PC,F,Y15-64,B-F,IE	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,B-F,IS	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,B-F,IT	3.5 	3.6 	3.7 	3.3 	3.0 	2.2 	2.1 	2.3 	2.4 	1.9 	2.3 b
PC,F,Y15-64,B-F,LT	: u	: u	: u	: u	1.7 u	1.6 u	: u	: u	: u	: u	: bu
PC,F,Y15-64,B-F,LU	: c	: c	: c	: bu	: c	: c	: c	: c	: c	: bc	: 
PC,F,Y15-64,B-F,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,B-F,ME	: u	: u	: u	: u	: u	: u	: u	: c	: 	: 	: 
PC,F,Y15-64,B-F,MK	7.8 	6.4 	4.8 	5.2 	5.6 	3.8 	3.0 	2.5 	: 	: 	: 
PC,F,Y15-64,B-F,MT	: c	: u	: u	: u	4.9 u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,B-F,NL	1.3 	1.5 	1.9 	1.8 	1.4 	1.3 bu	1.1 u	0.9 u	0.9 u	1.2 	1.7 b
PC,F,Y15-64,B-F,NO	: u	: u	1.2 u	1.3 u	0.9 u	0.9 u	0.8 u	1.1 u	: u	: u	: bu
PC,F,Y15-64,B-F,PL	3.5 	3.9 	4.9 	5.1 	5.2 	5.2 	4.6 	5.1 	5.0 b	3.4 	4.2 b
PC,F,Y15-64,B-F,PT	2.1 	3.1 	2.7 	2.7 	2.8 	2.9 	3.0 	3.1 b	: u	: u	: bu
PC,F,Y15-64,B-F,RO	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: c	: bu
PC,F,Y15-64,B-F,RS	9.1 	9.7 	9.3 	7.2 	5.6 b	2.3 u	2.4 u	3.0 u	2.4 u	: 	: 
PC,F,Y15-64,B-F,SE	2.4 b	2.8 	2.7 	3.2 	3.2 	2.9 	3.2 	3.3 	4.4 	3.1 	3.6 b
PC,F,Y15-64,B-F,SI	4.9 	5.9 	5.7 	5.8 	4.8 u	4.1 u	6.9 	6.7 	4.9 	3.7 u	5.2 b
PC,F,Y15-64,B-F,SK	1.9 	1.7 	1.2 u	2.3 	2.0 	: u	1.1 u	: bu	1.6 	: bu	1.2 b
PC,F,Y15-64,B-F,TR	3.8 	5.3 	4.5 	3.1 	3.8 b	3.3 	4.1 	4.3 	5.3 	5.3 	: 
