unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y_GE15,B-F,HR	8.6 u	8.9 u	8.7 u	6.6 u	6.2 bu	6.0 u	5.6 u	5.8 u	4.9 u	4.7 u	5.5 bu
PC,F,Y_GE15,B-F,HU	2.1 	2.1 	2.5 	4.3 	4.7 	5.3 	4.6 	4.8 	5.0 	4.0 	4.3 b
PC,F,Y_GE15,B-F,IE	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,B-F,IS	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,B-F,IT	3.5 	3.6 	3.6 	3.3 	3.0 	2.2 	2.1 	2.3 	2.4 	1.9 	2.3 b
PC,F,Y_GE15,B-F,LT	: u	: u	: u	: u	1.8 u	1.6 u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,B-F,LU	: c	: c	: c	: bu	: c	: c	: c	: c	: c	: bc	: 
PC,F,Y_GE15,B-F,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,B-F,ME	: u	: u	: u	: u	: u	: u	: u	: c	: 	: 	: 
PC,F,Y_GE15,B-F,MK	7.8 	6.4 	4.8 	5.2 	5.7 	3.8 	3.0 	2.5 	: 	: 	: 
PC,F,Y_GE15,B-F,MT	: c	: u	: u	: u	4.9 u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,B-F,NL	1.3 	1.5 	1.9 	1.8 	1.4 	1.3 bu	1.1 u	0.9 u	0.9 u	1.2 	1.6 b
PC,F,Y_GE15,B-F,NO	: u	: u	1.2 u	1.3 u	0.9 u	0.8 u	0.8 u	1.1 u	: u	: u	: bu
PC,F,Y_GE15,B-F,PL	3.5 	4.0 	4.8 	5.1 	5.3 	5.2 	4.7 	5.1 	5.0 b	3.4 	4.2 b
PC,F,Y_GE15,B-F,PT	2.1 	3.1 	2.7 	2.7 	2.8 	2.9 	3.0 	3.1 b	: u	: u	: bu
PC,F,Y_GE15,B-F,RO	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: c	: bu
PC,F,Y_GE15,B-F,RS	9.1 	9.6 	9.3 	7.2 	5.6 b	2.3 u	2.4 u	3.0 u	2.4 u	: 	: 
PC,F,Y_GE15,B-F,SE	2.7 b	2.8 	2.8 	3.5 	3.3 	3.0 	3.3 	3.5 	4.3 	3.1 	3.7 b
PC,F,Y_GE15,B-F,SI	5.1 	6.0 	5.6 	5.8 	4.8 u	4.1 u	6.9 	6.7 	4.9 	3.7 u	5.2 b
PC,F,Y_GE15,B-F,SK	2.0 	1.7 	1.3 u	2.3 	2.0 	: u	1.2 u	: bu	1.6 	: bu	1.2 b
PC,F,Y_GE15,B-F,TR	3.9 	5.3 	4.5 	3.1 	3.8 b	3.4 	4.1 	4.3 	5.4 	5.3 	: 
PC,F,Y_GE15,B-F,UK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	0.5 bu
PC,F,Y_GE15,G-I,AT	1.2 	1.8 	1.8 	1.5 	1.6 	1.6 	1.5 	1.6 	1.5 	1.5 	1.8 b
PC,F,Y_GE15,G-I,BE	9.6 	8.4 b	7.0 	5.6 	5.1 	4.7 	5.2 	5.9 	4.0 	4.7 	4.3 b
PC,F,Y_GE15,G-I,BG	: u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y_GE15,G-I,CH	1.8 	1.8 	1.6 	1.9 	1.4 	1.4 	1.5 	1.4 	1.6 b	0.9 u	1.2 bu
PC,F,Y_GE15,G-I,CY	: u	1.0 u	1.0 u	1.3 u	: u	: u	: u	: u	: u	: bu	: bu
PC,F,Y_GE15,G-I,CZ	0.8 	0.8 	0.7 	1.1 	0.9 	1.0 	1.2 	1.0 b	1.1 	0.9 	0.9 b
PC,F,Y_GE15,G-I,DE	0.5 	0.6 	0.7 	0.8 	0.7 	0.7 	0.6 	0.9 	0.8 b	1.0 	0.9 b
PC,F,Y_GE15,G-I,DK	1.5 u	1.5 bu	2.4 b	1.1 u	1.3 u	1.2 u	1.0 u	1.4 u	0.9 u	1.3 u	1.4 bu
PC,F,Y_GE15,G-I,EA19	3.8 	3.8 	3.5 	3.4 	3.3 	3.1 	3.2 	3.3 	3.2 	3.0 	3.3 b
PC,F,Y_GE15,G-I,EE	2.0 u	2.2 u	2.3 u	2.1 u	2.2 u	: u	: u	2.0 u	: u	: u	: bu
PC,F,Y_GE15,G-I,EL	1.3 	1.4 	1.8 	1.8 	2.1 	1.9 	1.8 	1.5 	1.6 	1.0 bu	0.9 bu
PC,F,Y_GE15,G-I,ES	7.1 	7.7 	7.3 	7.0 	7.3 	7.1 	6.8 	6.9 	7.1 	6.6 b	7.5 b
PC,F,Y_GE15,G-I,EU15	3.3 	3.3 	3.1 	3.0 	3.0 	2.8 	2.9 	3.0 	2.9 	2.8 	3.0 b
PC,F,Y_GE15,G-I,EU27_2020	3.7 	3.7 	3.6 	3.5 	3.4 	3.2 	3.3 	3.4 	3.3 	3.0 	3.4 b
PC,F,Y_GE15,G-I,EU28	3.3 	3.2 	3.2 	3.1 	3.0 	2.9 	2.9 	3.0 	2.9 	2.7 	3.0 b
PC,F,Y_GE15,G-I,FI	5.7 	5.5 	5.6 	5.5 	4.9 	5.3 	5.4 	5.0 	5.5 b	4.3 	4.7 b
PC,F,Y_GE15,G-I,FR	6.2 	5.8 	5.4 	5.4 	5.4 b	5.1 	5.7 	5.9 	5.4 	4.9 	5.6 b
PC,F,Y_GE15,G-I,HR	11.5 	10.5 	12.5 	12.7 	9.2 b	6.0 	8.8 	8.6 	7.8 	5.7 	4.3 bu
PC,F,Y_GE15,G-I,HU	2.1 	2.1 	2.4 	2.9 	2.9 	3.4 	2.8 	3.2 	4.3 	3.7 	3.9 b
PC,F,Y_GE15,G-I,IE	2.7 	2.0 b	1.6 	1.6 	1.4 u	1.6 	1.6 	1.3 u	1.2 u	1.1 u	1.4 b
PC,F,Y_GE15,G-I,IS	5.5 	4.0 	5.5 	5.3 	6.1 	6.8 	7.2 	5.4 	4.3 	4.5 	5.5 b
PC,F,Y_GE15,G-I,IT	5.9 	5.7 	4.6 	4.0 	3.9 	3.5 	3.6 	3.3 	3.5 	3.1 	3.5 b
PC,F,Y_GE15,G-I,LT	1.3 u	1.0 u	1.0 u	1.1 u	1.0 u	1.3 u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,G-I,LU	3.6 u	: u	: u	: bu	: c	: u	: u	: u	: u	: bu	: bu
PC,F,Y_GE15,G-I,LV	1.4 u	1.4 u	1.6 u	1.6 u	: u	1.6 u	1.9 u	: u	: u	: u	1.4 b
PC,F,Y_GE15,G-I,ME	13.0 	14.6 	14.3 	12.9 	15.2 	8.9 	7.1 	5.1 u	: 	: 	: 
PC,F,Y_GE15,G-I,MK	4.2 	5.6 	4.7 	3.7 	5.3 	3.2 	3.2 	2.6 	: 	: 	: 
PC,F,Y_GE15,G-I,MT	: u	: u	: u	: u	: u	: u	2.4 u	: u	: u	: u	: bu
PC,F,Y_GE15,G-I,NL	1.7 	1.8 	1.6 	1.6 	1.5 	1.4 b	1.2 	1.2 	1.5 	1.5 	1.5 b
PC,F,Y_GE15,G-I,NO	: u	: u	1.0 	0.7 	0.7 	0.6 u	1.2 	0.9 	1.1 	0.9 u	1.1 b
PC,F,Y_GE15,G-I,PL	5.9 	5.7 	6.2 	6.3 	6.2 	5.8 	5.8 	5.1 	5.5 b	4.3 	6.2 b
PC,F,Y_GE15,G-I,PT	3.7 	3.7 	3.5 	4.1 	3.8 	4.4 	3.4 	3.5 b	1.4 	1.2 	1.1 b
PC,F,Y_GE15,G-I,RO	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
PC,F,Y_GE15,G-I,RS	10.6 	12.1 	10.9 	8.5 	4.9 b	5.0 	3.3 u	2.9 u	2.6 u	: 	: 
PC,F,Y_GE15,G-I,SE	6.1 b	6.5 	7.1 	7.9 	8.7 	8.3 	9.6 	8.8 	9.1 	9.8 	9.9 b
PC,F,Y_GE15,G-I,SI	7.8 	7.5 	7.4 	7.6 	7.2 	7.1 	7.6 	8.3 	8.5 	7.5 	8.0 b
PC,F,Y_GE15,G-I,SK	1.8 	1.8 	3.3 	4.3 	2.6 	1.4 	1.5 	1.1 bu	1.4 	1.3 b	1.4 b
PC,F,Y_GE15,G-I,TR	3.7 	3.0 	3.0 	2.8 	3.0 b	2.5 	2.5 	2.3 	2.4 	2.5 	: 
PC,F,Y_GE15,G-I,UK	0.4 	0.4 	0.6 	0.7 	0.6 	0.6 	0.5 	0.5 	0.6 	0.6 	0.7 b
PC,F,Y_GE15,J-N,AT	1.0 u	: u	: u	1.1 u	: u	: u	: u	1.3 u	1.2 u	: u	1.2 bu
PC,F,Y_GE15,J-N,BE	4.6 	3.5 b	3.5 	3.7 	3.5 	3.1 	3.5 	3.2 	3.1 	3.3 	3.5 b
PC,F,Y_GE15,J-N,BG	: u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y_GE15,J-N,CH	1.3 u	1.5 	1.0 u	1.3 u	1.3 u	1.5 u	1.2 u	1.8 	1.7 b	1.5 u	1.3 bu
PC,F,Y_GE15,J-N,CY	: u	: u	: c	: u	: c	: c	: c	: c	: u	: bu	: bu
PC,F,Y_GE15,J-N,CZ	0.3 u	0.3 u	0.3 u	0.6 u	0.5 u	0.8 u	0.9 u	0.6 bu	0.9 u	0.9 u	0.6 bu
PC,F,Y_GE15,J-N,DE	0.4 	0.5 	0.4 	0.4 	0.5 	0.4 	0.5 	0.7 	0.7 b	0.7 	0.7 b
PC,F,Y_GE15,J-N,DK	: u	: bu	1.9 bu	: u	: u	: u	: u	1.2 u	: u	1.2 u	1.2 bu
PC,F,Y_GE15,J-N,EA19	2.2 	2.2 	2.3 	2.1 	2.2 	2.1 	2.2 	2.2 	2.1 	2.3 	2.4 b
PC,F,Y_GE15,J-N,EE	: u	: u	: u	: u	: u	: u	: u	: u	: c	: u	: bc
PC,F,Y_GE15,J-N,EL	1.4 u	1.2 u	1.8 u	1.0 u	: u	1.2 u	1.0 u	: u	: u	: bu	1.0 bu
PC,F,Y_GE15,J-N,ES	3.3 	3.6 	3.5 	3.3 	3.9 	3.5 	3.4 	2.9 	3.4 	4.0 b	4.8 b
PC,F,Y_GE15,J-N,EU15	1.9 	1.9 	1.9 	1.8 	1.9 	1.8 	1.9 	1.9 	1.9 	2.0 	2.2 b
PC,F,Y_GE15,J-N,EU27_2020	2.3 	2.4 	2.5 	2.4 	2.5 	2.4 	2.5 	2.5 	2.4 	2.5 	2.6 b
PC,F,Y_GE15,J-N,EU28	2.0 	2.1 	2.1 	2.1 	2.2 	2.1 	2.2 	2.2 	2.1 	2.1 	2.3 b
PC,F,Y_GE15,J-N,FI	3.4 	2.8 	3.0 	2.7 	2.7 	3.5 	2.9 	2.8 	3.1 b	2.5 	2.6 b
PC,F,Y_GE15,J-N,FR	3.5 	4.2 	4.3 	3.9 	3.9 b	3.6 	4.5 	4.6 	4.2 	4.8 	4.7 b
PC,F,Y_GE15,J-N,HR	7.8 u	6.9 u	9.5 u	7.4 u	4.1 bu	3.4 u	3.7 u	4.0 u	3.4 u	2.6 u	2.6 bu
PC,F,Y_GE15,J-N,HU	2.0 u	2.5 	1.6 u	3.0 	2.5 	3.7 	2.6 	3.0 	1.8 u	2.4 u	2.5 bu
PC,F,Y_GE15,J-N,IE	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,J-N,IS	: u	: u	4.5 	4.6 	: u	: u	: u	4.7 	6.2 	4.4 	: bu
PC,F,Y_GE15,J-N,IT	3.3 	2.5 	2.6 	2.3 	2.3 	2.2 	2.0 	1.8 	1.9 	2.1 	1.9 b
PC,F,Y_GE15,J-N,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,J-N,LU	2.3 u	: u	: u	2.1 bu	: u	: u	: u	: u	: c	: bu	: bu
PC,F,Y_GE15,J-N,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,J-N,ME	10.5 u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
PC,F,Y_GE15,J-N,MK	6.8 	3.5 u	3.4 u	3.4 u	4.3 u	4.3 u	3.7 u	: u	: 	: 	: 
PC,F,Y_GE15,J-N,MT	: u	: u	: u	: u	: u	: u	: u	: u	: c	: u	: bc
PC,F,Y_GE15,J-N,NL	1.0 	1.1 	1.0 	1.2 	1.4 	1.1 b	1.2 	1.2 	1.3 	1.0 	1.4 b
PC,F,Y_GE15,J-N,NO	: u	: u	0.4 u	0.7 u	0.7 u	1.3 	0.7 u	1.0 	1.1 u	: u	1.0 bu
PC,F,Y_GE15,J-N,PL	5.0 	5.2 	6.0 	6.9 	7.2 	6.7 	6.8 	6.6 	5.8 b	5.2 	6.4 b
PC,F,Y_GE15,J-N,PT	3.4 	2.8 	4.0 	3.6 	3.5 	4.8 	4.5 	4.3 b	: u	: u	: bu
PC,F,Y_GE15,J-N,RO	: c	: c	: c	: c	: u	: c	: 	: u	: bc	: u	: bc
PC,F,Y_GE15,J-N,RS	6.4 	8.5 	7.2 	6.0 	2.0 bu	: u	: u	: u	: u	: 	: 
PC,F,Y_GE15,J-N,SE	3.6 b	3.5 	3.9 	4.5 	4.5 	4.5 	4.6 	4.9 	4.9 	4.2 	4.2 b
PC,F,Y_GE15,J-N,SI	3.9 u	6.1 u	5.6 u	4.8 u	4.8 u	4.9 u	4.2 u	5.2 u	6.1 u	6.5 u	5.9 bu
PC,F,Y_GE15,J-N,SK	: u	2.0 u	3.3 	2.6 u	: u	: u	: u	: bu	: u	: bu	: bu
PC,F,Y_GE15,J-N,TR	2.6 	1.7 	1.7 	1.9 	1.7 b	1.9 	1.4 	1.6 	1.7 	1.5 	: 
PC,F,Y_GE15,J-N,UK	0.5 	0.5 	0.3 u	0.3 u	0.5 u	0.4 u	0.4 u	0.3 u	0.4 u	0.4 u	0.5 b
PC,F,Y_GE15,NRP,CH	2.9 u	4.6 u	4.2 u	: u	6.5 u	3.7 u	3.9 u	3.3 u	2.9 bu	: u	2.5 bu
PC,F,Y_GE15,NRP,DK	: u	: bu	: bu	: c	: u	: 	: 	: c	: 	: c	: 
PC,F,Y_GE15,NRP,EA19	4.5 	4.5 	4.1 	4.9 	4.6 	4.1 	3.6 u	5.0 	3.9 	4.4 u	5.7 bu
PC,F,Y_GE15,NRP,EE	: 	: 	: c	: c	: c	: 	: 	: 	: c	: 	: 
PC,F,Y_GE15,NRP,EU15	4.2 	4.1 	4.0 	4.6 	4.2 	3.8 	3.4 	4.5 	3.3 	3.5 u	5.4 bu
PC,F,Y_GE15,NRP,EU27_2020	4.7 	4.7 	4.5 	5.3 	5.1 	4.4 	4.2 u	5.4 	4.0 u	4.4 u	6.0 bu
PC,F,Y_GE15,NRP,EU28	4.3 	4.3 	4.2 	4.8 	4.4 	3.8 	3.6 u	4.6 	3.5 u	3.7 u	5.7 bu
PC,F,Y_GE15,NRP,FI	: c	: c	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
PC,F,Y_GE15,NRP,FR	13.4 	13.5 	9.9 	11.7 	12.1 b	11.5 	15.3 u	22.8 	13.1 u	13.4 u	14.9 bu
PC,F,Y_GE15,NRP,HR	: 	: 	: c	: c	: bc	: 	: 	: 	: 	: 	: 
PC,F,Y_GE15,NRP,IE	: c	: bc	: c	: c	: 	: c	: 	: 	: c	: 	: bc
PC,F,Y_GE15,NRP,LU	: c	: u	: u	: bu	: 	: 	: c	: c	: u	: bc	: 
PC,F,Y_GE15,NRP,LV	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 	: 
PC,F,Y_GE15,NRP,MK	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	2.3 	2.5 b
PC,F,Y_GE15,NRP,NL	1.3 	1.5 	1.4 	1.8 	1.8 	1.6 b	1.1 	1.4 	1.2 	1.4 	1.5 bu
PC,F,Y_GE15,NRP,NO	: 	: c	: c	: u	: c	: c	: 	: 	: c	: 	: bu
PC,F,Y_GE15,NRP,PL	: u	: u	: u	: u	: u	: 	: c	: c	: bc	: 	: bc
PC,F,Y_GE15,NRP,SE	13.1 bu	11.0 u	10.7 u	14.9 	14.9 u	15.6 u	22.2 	22.7 u	: u	: u	: bu
PC,F,Y_GE15,NRP,SI	19.9 u	22.8 u	: u	: u	: u	: u	: u	: u	38.4 u	36.2 u	37.9 bu
PC,F,Y_GE15,NRP,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.5 b
PC,F,Y_GE15,NRP,UK	: c	: c	: c	: c	: c	: 	: c	: 	: c	: 	: bc
PC,F,Y_GE15,O-R_U,AT	0.9 	0.7 u	0.9 	0.8 u	0.8 u	1.0 	1.0 	0.9 u	1.1 	0.8 u	1.0 bu
PC,F,Y_GE15,O-R_U,BE	2.3 	2.4 b	1.9 	1.8 	1.8 	1.9 	1.8 	2.0 	1.8 	2.3 	2.4 b
PC,F,Y_GE15,O-R_U,BG	: u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y_GE15,O-R_U,CH	1.4 	1.6 	1.6 	1.8 	1.4 	1.7 	1.4 	1.8 	1.8 b	1.6 	1.4 b
PC,F,Y_GE15,O-R_U,CY	1.5 u	: u	: u	: u	: u	: u	1.5 u	1.2 u	1.5 u	1.7 bu	1.4 bu
PC,F,Y_GE15,O-R_U,CZ	0.2 u	0.3 u	0.3 u	0.3 u	0.4 u	0.4 u	0.3 u	0.5 bu	0.3 u	0.3 u	0.3 bu
PC,F,Y_GE15,O-R_U,DE	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.6 	0.5 b	0.5 	0.6 b
PC,F,Y_GE15,O-R_U,DK	1.2 	1.4 b	1.9 b	0.9 	0.8 	1.0 	1.1 	1.2 	1.3 	1.7 	1.5 b
PC,F,Y_GE15,O-R_U,EA19	1.9 	1.9 	1.9 	1.9 	1.8 	1.7 	1.9 	1.9 	1.9 	1.9 	2.0 b
PC,F,Y_GE15,O-R_U,EE	1.0 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,O-R_U,EL	0.5 u	0.5 u	0.7 u	0.5 u	0.5 u	0.6 u	0.8 u	0.8 	0.5 u	0.5 bu	0.4 bu
PC,F,Y_GE15,O-R_U,ES	3.5 	3.8 	3.6 	3.6 	3.4 	3.7 	3.4 	3.7 	3.8 	4.2 b	4.4 b
PC,F,Y_GE15,O-R_U,EU15	1.7 	1.7 	1.7 	1.7 	1.6 	1.6 	1.7 	1.7 	1.7 	1.8 	1.8 b
PC,F,Y_GE15,O-R_U,EU27_2020	1.8 	1.9 	1.8 	1.9 	1.8 	1.8 	1.9 	1.9 	1.9 	1.9 	2.0 b
PC,F,Y_GE15,O-R_U,EU28	1.6 	1.6 	1.6 	1.6 	1.6 	1.5 	1.6 	1.6 	1.6 	1.7 	1.7 b
PC,F,Y_GE15,O-R_U,FI	5.2 	4.9 	5.2 	5.3 	5.0 	4.9 	5.4 	5.3 	5.1 b	3.8 	4.1 b
PC,F,Y_GE15,O-R_U,FR	3.7 	3.8 	3.5 	3.7 	3.4 b	3.1 	3.8 	3.6 	3.7 	3.9 	3.6 b
PC,F,Y_GE15,O-R_U,HR	2.1 u	2.1 u	2.9 u	1.5 u	1.4 bu	1.9 u	1.6 u	1.3 u	1.3 u	2.0 u	1.7 bu
PC,F,Y_GE15,O-R_U,HU	1.6 	1.4 	1.4 	2.8 	2.7 	2.3 	2.5 	2.8 	2.3 	2.0 	2.1 b
PC,F,Y_GE15,O-R_U,IE	1.4 	0.7 bu	0.5 u	0.6 u	: u	: u	0.6 u	0.9 u	0.7 u	0.6 u	0.8 bu
PC,F,Y_GE15,O-R_U,IS	3.0 	3.3 	3.4 	4.3 	4.2 	4.3 	4.6 	3.9 	3.6 	4.0 	3.8 b
PC,F,Y_GE15,O-R_U,IT	1.8 	1.6 	1.6 	1.4 	1.3 	1.4 	1.5 	1.4 	1.3 	1.2 	1.5 b
PC,F,Y_GE15,O-R_U,LT	0.5 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,O-R_U,LU	1.1 u	: u	1.6 u	1.5 bu	1.3 u	1.1 u	: u	1.2 u	: u	: bu	: bu
PC,F,Y_GE15,O-R_U,LV	: u	: u	: u	1.2 u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,O-R_U,ME	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
PC,F,Y_GE15,O-R_U,MK	2.0 	2.0 	1.5 	1.8 	1.6 	2.5 	1.3 u	1.8 	: 	: 	: 
PC,F,Y_GE15,O-R_U,MT	1.1 u	: u	: u	: u	: u	: u	: u	: u	: c	: u	: bu
PC,F,Y_GE15,O-R_U,NL	0.7 	0.8 	0.8 	1.0 	0.9 	0.7 b	0.7 	0.7 	0.8 	0.9 	0.9 b
PC,F,Y_GE15,O-R_U,NO	: u	: u	0.5 	0.5 	0.6 	0.8 	0.7 	0.8 	0.8 	0.7 	0.7 b
PC,F,Y_GE15,O-R_U,PL	1.6 	1.6 	1.8 	1.9 	2.0 	1.6 	1.6 	1.5 	1.6 b	1.8 	1.8 b
PC,F,Y_GE15,O-R_U,PT	1.3 	1.2 	1.4 	1.2 	1.3 	1.7 	1.5 	1.7 b	: u	: u	1.0 b
PC,F,Y_GE15,O-R_U,RO	: c	: c	: c	: u	: u	: c	: u	: c	: bc	: u	: bu
PC,F,Y_GE15,O-R_U,RS	4.4 	5.3 	4.5 	3.7 	2.7 b	2.5 u	1.7 u	1.2 u	: u	: 	: 
PC,F,Y_GE15,O-R_U,SE	4.1 b	3.8 	4.0 	4.7 	5.5 	5.7 	5.4 	5.4 	5.6 	4.9 	5.4 b
PC,F,Y_GE15,O-R_U,SI	2.4 u	3.0 	2.4 u	2.9 	2.6 u	1.8 u	2.5 u	2.8 u	3.2 	2.9 	2.9 bu
PC,F,Y_GE15,O-R_U,SK	1.0 	1.3 	2.1 	2.5 	1.8 	1.2 	1.2 	0.8 bu	: u	: bu	: bu
PC,F,Y_GE15,O-R_U,TR	0.8 	0.8 	0.8 	0.9 	0.8 b	0.8 	0.5 	0.7 	0.6 	0.5 	: 
PC,F,Y_GE15,O-R_U,UK	0.3 	0.3 	0.3 	0.3 	0.4 	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 b
PC,F,Y_GE15,S_T,AT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,BE	: u	5.5 bu	: u	: u	: u	4.3 u	: u	4.7 u	4.9 u	6.2 u	7.0 bu
PC,F,Y_GE15,S_T,BG	: u	: u	: u	: u	: u	: c	: u	: bu	: bu	: c	: bu
PC,F,Y_GE15,S_T,CH	1.4 u	1.9 u	1.1 u	2.7 u	1.9 u	2.1 u	1.2 u	1.5 u	1.4 bu	: u	2.1 bu
PC,F,Y_GE15,S_T,CY	: 	: c	: c	: c	: 	: c	: c	: 	: c	: 	: bc
PC,F,Y_GE15,S_T,CZ	: c	: c	: c	: c	: u	: u	: u	: bc	: u	: c	: bu
PC,F,Y_GE15,S_T,DE	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	0.8 b
PC,F,Y_GE15,S_T,DK	: u	: bu	: bu	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,EA19	2.7 	2.7 	2.5 	2.4 	2.4 	2.4 	2.4 	2.6 	2.3 	2.5 	2.6 b
PC,F,Y_GE15,S_T,EE	: c	: c	: 	: c	: c	: c	: 	: c	: c	: 	: bc
PC,F,Y_GE15,S_T,EL	3.9 u	4.4 u	: u	3.6 u	5.8 	5.3 u	4.1 u	4.3 	4.0 	5.2 b	4.0 b
PC,F,Y_GE15,S_T,ES	3.3 	3.5 	3.8 	3.5 	3.5 	3.4 	3.4 	3.1 	3.0 	3.2 b	3.1 b
PC,F,Y_GE15,S_T,EU15	2.6 	2.5 	2.4 	2.2 	2.3 	2.2 	2.3 	2.5 	2.2 	2.4 	2.4 b
PC,F,Y_GE15,S_T,EU27_2020	2.8 	2.8 	2.7 	2.6 	2.6 	2.6 	2.6 	2.8 	2.6 	2.7 	2.7 b
PC,F,Y_GE15,S_T,EU28	2.6 	2.6 	2.5 	2.4 	2.4 	2.4 	2.5 	2.6 	2.4 	2.5 	2.5 b
PC,F,Y_GE15,S_T,FI	5.9 u	7.1 u	6.2 u	7.2 u	6.7 u	5.9 u	7.5 u	7.6 u	8.8 bu	7.0 u	7.7 bu
PC,F,Y_GE15,S_T,FR	4.6 	4.1 	3.1 	2.7 	3.0 b	3.3 	3.5 	3.8 	3.9 	3.9 	4.2 b
PC,F,Y_GE15,S_T,HR	7.1 u	: u	8.4 u	: u	7.1 bu	: 	: u	7.2 u	: u	: c	: bc
PC,F,Y_GE15,S_T,HU	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,IE	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,IS	: c	: u	: u	: u	: c	: c	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,IT	2.8 	2.5 	2.5 	2.3 	1.9 	1.5 	1.2 	1.7 	1.2 	1.5 	1.6 b
PC,F,Y_GE15,S_T,LT	: 	: c	: c	: c	: 	: u	: u	: c	: c	: u	: bc
PC,F,Y_GE15,S_T,LU	: c	: c	: c	: bc	: c	: c	: c	: c	: c	: bc	: 
PC,F,Y_GE15,S_T,LV	: c	: u	: c	: 	: 	: 	: 	: c	: 	: u	: bc
PC,F,Y_GE15,S_T,ME	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
PC,F,Y_GE15,S_T,MK	17.7 u	: u	: u	: u	: u	: c	: u	: u	: 	: 	: 
PC,F,Y_GE15,S_T,MT	: c	: 	: c	: 	: c	: c	: c	: c	: 	: c	: 
PC,F,Y_GE15,S_T,NL	: u	: u	: u	: u	: u	: bu	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,NO	: u	: u	: c	: u	: c	: c	: c	: c	: u	: u	: bu
PC,F,Y_GE15,S_T,PL	5.6 u	6.9 u	6.6 u	7.8 u	9.6 u	10.0 u	9.9 u	9.5 u	10.0 bu	7.1 u	8.0 bu
PC,F,Y_GE15,S_T,PT	6.6 	6.2 	7.3 	6.0 	6.9 	7.0 	7.3 	7.3 b	: u	: u	: bu
PC,F,Y_GE15,S_T,RO	: u	: u	: u	: u	: c	: u	: c	: c	: bc	: 	: 
PC,F,Y_GE15,S_T,RS	11.7 u	16.9 	20.8 	16.7 u	9.7 bu	: u	: u	: c	: u	: 	: 
PC,F,Y_GE15,S_T,SE	3.4 b	4.8 	3.8 	4.9 	6.3 	5.5 	4.7 	4.7 	5.7 	: u	5.9 bu
PC,F,Y_GE15,S_T,SI	11.2 u	8.0 u	10.5 u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,S_T,SK	: c	: u	: u	: u	: 	: c	: u	: bu	: c	: bu	: bc
PC,F,Y_GE15,S_T,TR	2.8 	4.5 	3.9 	3.7 	4.1 b	3.2 	4.6 	5.6 	6.1 	6.0 	: 
PC,F,Y_GE15,S_T,UK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y_GE15,TOTAL,AT	1.0 	1.1 	1.2 	1.1 	1.1 	1.1 	1.1 	1.3 	1.2 	1.0 	1.2 
